subject,opponent,seed,num_rounds,first_round,last_round,per_c,per_C,per_cC,per_cD,per_dC,per_dD,avg_score,avg_net_score
TIFT,GRAS,3,200,1,200,0.9949748743718593,0.6281407035175879,0.625,0.365,0.0,0.005,2.613065326633166,-0.02512562814070352
TIFT,GRAS,4,200,1,200,0.9949748743718593,0.6281407035175879,0.625,0.365,0.0,0.005,2.613065326633166,-0.02512562814070352
TIFT,GRAScx,0,200,1,200,1.0,0.6281407035175879,0.625,0.37,0.0,0.0,2.613065326633166,-0.02512562814070352
TIFT,GRAScx,1,200,1,200,1.0,0.6281407035175879,0.625,0.37,0.0,0.0,2.613065326633166,-0.02512562814070352
TIFT,GRAScx,2,200,1,200,1.0,0.6281407035175879,0.625,0.37,0.0,0.0,2.613065326633166,-0.02512562814070352
TIFT,GRAScx,3,200,1,200,1.0,0.6281407035175879,0.625,0.37,0.0,0.0,2.613065326633166,-0.02512562814070352
TIFT,GRAScx,4,200,1,200,1.0,0.6281407035175879,0.625,0.37,0.0,0.0,2.613065326633166,-0.02512562814070352
TIFT,GRASxx,0,200,1,200,0.6281407035175879,0.6281407035175879,0.625,0.0,0.0,0.37,2.613065326633166,-0.02512562814070352
TIFT,GRASxx,1,200,1,200,0.6281407035175879,0.6281407035175879,0.625,0.0,0.0,0.37,2.613065326633166,-0.02512562814070352
TIFT,GRASxx,2,200,1,200,0.6281407035175879,0.6281407035175879,0.625,0.0,0.0,0.37,2.613065326633166,-0.02512562814070352
TIFT,GRASxx,3,200,1,200,0.6281407035175879,0.6281407035175879,0.625,0.0,0.0,0.37,2.613065326633166,-0.02512562814070352
TIFT,GRASxx,4,200,1,200,0.6281407035175879,0.6281407035175879,0.625,0.0,0.0,0.37,2.613065326633166,-0.02512562814070352
TIFT,GROF,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROF,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROF,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROF,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROF,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFcx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFcx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFcx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFcx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFcx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFxx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFxx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFxx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFxx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,GROFxx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,JOSS,0,200,1,200,0.1959798994974874,0.06030150753768848,0.06,0.135,0.0,0.8,1.1407035175879396,-0.02512562814070352
TIFT,JOSS,1,200,1,200,0.12562814070351758,0.045226130653266305,0.045,0.08,0.0,0.87,1.100502512562814,-0.02512562814070352
TIFT,JOSS,2,200,1,200,0.23115577889447236,0.21105527638190957,0.21,0.02,0.0,0.765,1.5577889447236182,-0.02512562814070352
TIFT,JOSS,3,200,1,200,0.12562814070351758,0.07035175879396982,0.07,0.055,0.0,0.87,1.135678391959799,-0.02512562814070352
TIFT,JOSS,4,200,1,200,0.3065326633165829,0.08040201005025127,0.08,0.225,0.0,0.69,1.150753768844221,-0.02512562814070352
